County,FIPS,Access Method,Source Type,URL,Contact Info,Notes,Last Checked,HTTP Status,Check Error
Alachua,12001,Web Form,html,https://alachua.realtdm.com/public/cases/list,taxdeeds@alachuaclerk.org,RealTDM portal - filter by Surplus Balance. No bulk download.,,,
Baker,12003,Scrapable,pdf,https://bakerclerk.com/wp-content/uploads/Tax-Deed-Surpless.pdf,(904) 259-8113,Direct PDF download. WordPress-hosted. Note typo in URL (Surpless).,2026-04-07,200,
Bay,12005,Phone Request,N/A,https://www.baycoclerk.com/public-records/tax-deed-auctions/,"mnolind@baycoclerk.com, (850) 747-5729",No online surplus list. Surplus managed by private attorney.,,,
Bradford,12007,Phone Request,N/A,https://bradfordclerk.com/tax-deeds-and-foreclosure-sales/,(904) 966-6280,Page 403s. No published surplus list. Small county.,,,
Brevard,12009,Email Request,pdf,https://www.brevardclerk.us/tax-deed-surplus,"taxdeedclerks@brevardclerk.us, (321) 637-2007",Small overbid PDF available. Full surplus list via email request.,,,
Broward,12011,Scrapable,html,https://www.broward.org/RecordsTaxesTreasury/TaxesFees/Pages/Overbid.aspx,,Page has Excel/CSV download links for overbid files. Returns 403 to bots - needs browser headers.,2026-04-07,0,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (
Calhoun,12013,Phone Request,N/A,https://calhounclerk.com/county-recorder/tax-deed-surplus/,"(850) 674-4545, clerk@calhounclerk.com",Empty placeholder page. Very small county.,,,
Charlotte,12015,Web Form,html,https://or.charlotteclerk.com/TaxDeeds,(941) 505-4844,Interactive tax deed search. No bulk download. Main site 403s.,,,
Citrus,12017,Email Request,N/A,https://www.citrusclerk.org/207/Tax-Deeds,"TaxDeeds@CitrusClerk.org, (352) 341-6424",Must email for surplus data. Up to 2 weeks response time.,,,
Clay,12019,Web Form,html,https://landmark.clayclerk.com/TaxDeed/,"taxdeedinfo@clayclerk.com, (904) 529-4221",Landmark search tool. No bulk download. Allow 72 hours for email response.,,,
